date,open,high,low,close,volume
2015-01-15,194.49,195.75,190.0,191.87,5200212.0
2015-01-16,190.7,194.49,189.65,193.07,3584994.0
2015-01-20,193.87,194.12,187.04,191.93,4488622.0
2015-01-21,189.55,197.19,189.51,196.03,2118551.0
2015-01-22,197.0,203.24,195.2,201.62,4092484.0
2015-01-23,200.29,203.5,198.33,201.29,3438021.0
2015-01-26,201.83,208.62,201.05,206.55,3223931.0
2015-01-27,204.42,208.03,203.3,206.05,2767327.0
2015-01-28,206.11,206.36,198.42,199.22,3128081.0
2015-01-29,201.07,205.98,196.5,205.2,3534281.0
2015-01-30,203.96,207.47,203.0,203.6,2987088.0
2015-02-02,203.97,211.95,203.3,210.94,4132416.0
2015-02-03,213.22,220.37,211.27,218.36,4810322.0
2015-02-04,218.29,221.48,216.8,218.55,3296115.0
2015-02-05,219.88,225.48,219.63,220.99,3514242.0
2015-02-06,222.0,223.4,216.5,217.36,3232452.0
2015-02-09,215.38,217.93,211.99,217.48,3467252.0
2015-02-10,217.55,220.5,215.0,216.29,5312632.0
2015-02-11,212.21,214.74,207.28,212.8,8560795.0
2015-02-12,193.57,203.08,193.28,202.99,15611295.0
2015-02-13,202.9,205.99,200.91,203.77,5992230.0
2015-02-17,205.7,205.7,201.5,204.35,3959755.0
2015-02-18,204.17,206.17,202.6,204.46,2687699.0
2015-02-19,205.0,212.44,203.75,211.7,5132258.0
2015-02-20,210.78,217.6,209.81,217.11,5967796.0
2015-02-23,215.66,218.2,206.33,207.33,8481251.0
2015-02-24,207.29,207.29,201.7,204.05,6577021.0
2015-02-25,204.94,207.14,202.58,203.76,3903934.0
2015-02-26,204.0,211.09,202.22,207.19,6466169.0
2015-02-27,206.9,208.55,202.8,203.45,3853596.0
2015-03-02,202.7,203.34,195.82,197.32,7757181.0
2015-03-03,196.81,200.24,195.32,199.56,4422666.0
2015-03-04,199.25,202.52,197.21,202.43,4211624.0
2015-03-05,202.85,206.19,200.15,200.63,4857484.0
2015-03-06,199.21,200.75,192.15,193.88,6676930.0
2015-03-09,194.39,194.49,188.25,190.88,6717122.0
2015-03-10,188.46,193.5,187.6,190.36,5448633.0
2015-03-11,191.15,196.18,191.01,193.74,4944821.0
2015-03-12,193.75,194.45,189.75,191.07,4122786.0
2015-03-13,188.95,191.75,187.32,188.68,5377906.0
2015-03-16,192.0,195.91,189.8,195.7,5608407.0
2015-03-17,195.43,198.71,193.94,194.73,4881582.0
2015-03-18,194.96,200.88,193.11,200.71,4718328.0
2015-03-19,202.0,204.59,194.53,195.65,8456326.0
2015-03-20,197.45,198.99,195.62,198.17,4216024.0
2015-03-23,198.5,200.5,197.47,199.63,2619774.0
2015-03-24,201.58,203.79,199.75,201.72,3639155.0
2015-03-25,198.27,198.59,192.7,194.31,5650264.0
2015-03-26,193.92,194.79,189.7,190.41,4011377.0
2015-03-27,189.07,189.29,181.4,185.0,8522574.0
2015-03-30,185.85,192.25,181.8,190.56,9900861.0
2015-03-31,193.53,193.76,188.41,188.82,4899175.0
2015-04-01,188.7,192.3,186.05,187.6,3782562.0
2015-04-02,190.23,193.23,190.0,191.0,4985941.0
2015-04-06,198.0,207.75,197.5,203.1,12358508.0
2015-04-07,202.51,205.06,201.14,203.25,4332345.0
2015-04-08,208.2,210.9,205.87,207.67,6270467.0
2015-04-09,208.43,210.37,206.12,210.09,3771539.0
2015-04-10,209.85,211.65,209.0,210.9,4006957.0
2015-04-13,210.43,213.0,209.05,209.78,3756428.0
2015-04-14,208.57,209.49,205.5,207.46,3015521.0
2015-04-15,207.46,209.59,206.6,207.83,1896404.0
2015-04-16,207.7,209.17,206.29,206.7,1616692.0
2015-04-17,204.99,206.88,203.5,206.79,2449415.0
2015-04-20,206.78,207.85,203.85,205.27,2551718.0
2015-04-21,205.8,210.75,204.31,209.41,3414551.0
2015-04-22,212.5,221.88,211.69,219.38,7835744.0
2015-04-23,218.27,221.48,217.15,218.6,4406083.0
2015-04-24,220.5,220.8,218.01,218.42,2411026.0
2015-04-27,222.56,238.75,222.0,231.55,11650179.0
2015-04-28,234.75,235.5,228.03,230.48,6068308.0
2015-04-29,230.05,234.97,227.63,232.45,3928693.0
2015-04-30,230.39,232.89,225.17,226.05,3877382.0
2015-05-01,229.94,231.77,220.4,225.96,5256679.0
2015-05-04,228.18,234.73,227.11,230.62,4425466.0
2015-05-05,237.76,239.5,229.13,232.86,5771886.0
2015-05-06,234.1,234.47,228.2,230.43,4106368.0
2015-05-07,221.0,237.48,220.25,236.8,9429855.0
2015-05-08,235.99,238.41,233.7,236.67,4656193.0
2015-05-11,236.29,242.88,235.31,239.49,5650021.0
2015-05-12,240.11,246.35,238.19,244.74,6308212.0
2015-05-13,247.61,248.3,242.25,243.18,5391878.0
2015-05-14,244.82,244.89,241.25,244.1,2839009.0
2015-05-15,243.93,249.4,242.5,248.84,4517929.0
2015-05-18,247.0,249.9,246.0,248.75,3330458.0
2015-05-19,248.43,251.0,246.15,247.14,3662046.0
2015-05-20,247.13,247.74,241.37,244.35,3744838.0
2015-05-21,243.03,246.62,242.35,245.62,1965832.0
2015-05-22,245.38,248.6,245.01,247.73,2213995.0
2015-05-26,247.68,252.0,246.5,247.45,3481157.0
2015-05-27,248.51,249.5,245.55,247.43,3401267.0
2015-05-28,247.03,251.8,245.05,251.45,3641083.0
2015-05-29,251.0,252.86,249.43,250.68,3751223.0
2015-06-01,251.41,251.6,247.47,249.45,2500957.0
2015-06-02,248.92,249.4,246.3,248.35,2125744.0
2015-06-03,248.2,250.72,247.01,248.99,1774350.0
2015-06-04,247.5,249.3,245.71,245.92,2418974.0
2015-06-05,246.0,249.7,245.68,249.14,3015833.0
2015-06-08,250.85,258.75,250.31,256.29,4997655.0
2015-06-09,255.4,257.74,254.14,256.0,2579552.0
2015-06-10,251.9,254.0,248.5,250.7,3449873.0
2015-06-11,253.26,254.37,250.43,251.44,2038211.0
2015-06-12,250.21,253.46,250.21,250.69,1415058.0
2015-06-15,249.7,251.28,246.01,250.38,2169499.0
2015-06-16,250.13,253.44,249.09,253.12,1979208.0
2015-06-17,252.17,264.36,252.02,260.41,5481742.0
2015-06-18,262.0,263.46,260.02,261.9,2777793.0
2015-06-19,262.4,263.8,260.1,262.27,2432546.0
2015-06-22,262.15,264.4,255.69,259.79,4555525.0
2015-06-23,260.32,268.0,258.57,267.67,3861223.0
2015-06-24,266.98,267.35,263.72,265.17,2409082.0
2015-06-25,266.45,271.41,265.25,268.79,2840989.0
2015-06-26,268.89,269.11,266.0,267.09,3447133.0
2015-06-29,261.95,265.95,260.7,262.07,3468500.0
2015-06-30,264.8,270.92,264.0,268.27,3076288.0
2015-07-01,271.11,272.62,267.85,269.14,2099404.0
2015-07-02,280.19,282.45,273.31,280.01,7113904.0
2015-07-06,278.88,281.69,276.3,279.71,4102123.0
2015-07-07,275.0,275.2,260.77,267.96,6087329.0
2015-07-08,259.32,260.8,254.31,254.96,6207153.0
2015-07-09,259.08,262.95,256.79,257.92,3324933.0
2015-07-10,262.22,263.0,257.82,259.05,2603011.0
2015-07-13,262.25,262.55,256.05,262.16,2948814.0
2015-07-14,262.1,265.99,260.51,265.7,1901890.0
2015-07-15,266.74,267.49,262.08,263.14,1999642.0
2015-07-16,264.22,267.2,263.16,266.66,1580448.0
2015-07-17,272.5,275.54,268.25,274.62,4981460.0
2015-07-20,275.0,286.65,272.54,282.26,4965149.0
2015-07-21,270.05,273.5,266.55,266.77,6068460.0
2015-07-22,261.27,269.44,260.86,267.87,3092060.0
2015-07-23,269.65,269.9,265.27,267.2,2211681.0
2015-07-24,267.38,271.09,263.92,265.37,2822837.0
2015-07-27,262.43,264.43,250.79,253.01,4682437.0
2015-07-28,255.75,265.4,251.83,264.82,3868030.0
2015-07-29,264.27,267.89,262.0,263.82,2779623.0
2015-07-30,262.69,266.94,262.11,266.79,2027057.0
2015-07-31,267.6,269.36,265.12,266.15,2211789.0
2015-08-03,266.29,266.71,257.07,259.99,2546025.0
2015-08-04,260.01,266.72,258.34,266.28,2327848.0
2015-08-05,263.58,271.0,260.4,270.13,4828750.0
2015-08-06,249.54,255.0,236.12,246.13,14611397.0
2015-08-07,243.58,243.73,238.39,242.5,5042931.0
2015-08-10,238.15,242.97,236.05,241.14,4174084.0
2015-08-11,237.15,239.3,234.44,237.37,4251905.0
2015-08-12,235.0,239.77,232.74,238.17,3722379.0
2015-08-13,239.86,246.48,239.12,242.51,4590165.0
2015-08-14,247.24,247.93,241.77,243.15,4351577.0
2015-08-17,255.56,256.59,250.51,255.02,7158027.0
2015-08-18,255.38,260.95,253.56,260.72,4177576.0
2015-08-19,260.33,260.65,255.02,255.25,3596014.0
2015-08-20,252.06,254.56,241.9,242.27,4883457.0
2015-08-21,236.0,243.8,230.51,230.77,6561164.0
2015-08-24,202.79,231.4,195.0,218.96,9559720.0
2015-08-25,230.52,230.9,219.12,220.03,4285627.0
2015-08-26,227.93,228.0,215.51,224.84,4853980.0
2015-08-27,231.0,244.75,230.81,242.99,7637540.0
2015-08-28,241.86,251.45,241.57,248.39,5493834.0
2015-08-31,245.62,254.95,245.51,248.98,4679626.0
2015-09-01,240.34,246.0,236.97,238.63,5435577.0
2015-09-02,245.3,247.88,239.78,247.69,4580928.0
2015-09-03,252.06,252.08,245.0,245.57,4129417.0
2015-09-04,240.89,244.09,238.2,241.93,3680562.0
2015-09-08,245.05,249.16,244.05,248.17,3114983.0
2015-09-09,252.05,254.25,248.3,248.91,3376095.0
2015-09-10,247.23,250.72,245.33,248.38,2704967.0
2015-09-11,247.64,250.24,244.73,250.24,2340489.0
2015-09-14,251.1,254.25,249.67,253.19,2876747.0
2015-09-15,252.75,254.6,249.5,253.57,2929051.0
2015-09-16,253.04,262.88,252.88,262.25,4401741.0
2015-09-17,263.96,265.5,260.69,261.87,3574379.0
2015-09-18,257.96,263.82,257.5,260.62,3718788.0
2015-09-21,263.98,271.57,255.8,264.2,6103436.0
2015-09-22,259.03,262.65,255.87,260.94,3656937.0
2015-09-23,261.95,262.08,257.58,261.06,2594257.0
2015-09-24,259.53,263.45,256.21,263.12,3440962.0
2015-09-25,266.61,266.91,256.15,257.02,3763355.0
2015-09-28,257.35,259.79,246.61,248.26,4887722.0
2015-09-29,250.46,254.73,245.46,246.53,3691446.0
2015-09-30,252.0,252.4,242.34,248.39,4914423.0
2015-10-01,247.51,248.5,237.13,239.88,4564877.0
2015-10-02,235.6,247.7,234.93,247.48,4368780.0
2015-10-05,248.84,249.84,244.13,246.05,3668028.0
2015-10-06,240.0,243.03,235.58,241.46,5213457.0
2015-10-07,236.63,237.7,229.12,231.88,6800212.0
2015-10-08,230.08,230.72,221.31,226.72,6117976.0
2015-10-09,220.93,224.37,218.36,220.67,6147813.0
2015-10-12,222.99,223.0,215.27,215.58,3799584.0
2015-10-13,213.28,222.52,211.13,219.25,5160979.0
2015-10-14,220.67,220.95,215.43,216.88,3081936.0
2015-10-15,216.43,221.73,213.7,221.51,2832250.0
2015-10-16,223.04,230.48,222.87,227.01,4303517.0
2015-10-19,226.5,231.15,224.94,228.1,2499206.0
2015-10-20,227.72,228.6,202.0,213.03,14854046.0
2015-10-21,211.99,214.81,208.8,210.09,4150599.0
2015-10-22,211.56,215.75,209.4,211.7,2803111.0
2015-10-23,215.0,215.35,207.69,209.09,4141610.0
2015-10-26,211.38,215.88,210.0,215.26,3386183.0
2015-10-27,214.84,217.1,207.51,210.33,3499712.0
2015-10-28,211.31,213.45,208.3,212.93,2670730.0
2015-10-29,211.75,213.74,210.64,211.6,1774855.0
2015-10-30,210.4,211.63,203.89,206.95,4368216.0
2015-11-02,208.92,215.8,207.22,213.81,3917160.0
2015-11-03,213.85,214.44,207.75,208.35,6620844.0
2015-11-04,227.0,232.74,225.2,231.63,12701332.0
2015-11-05,230.58,234.58,229.19,231.77,4493582.0
2015-11-06,230.7,233.36,229.5,232.36,2443475.0
2015-11-09,232.99,232.99,224.31,225.33,3844184.0
2015-11-10,223.48,223.7,216.08,216.5,4569318.0
2015-11-11,217.77,219.48,213.63,219.08,3334955.0
2015-11-12,217.85,219.0,212.66,212.94,2910103.0
2015-11-13,212.95,212.99,206.52,207.19,3412283.0
2015-11-16,206.09,214.98,205.8,214.31,2917082.0
2015-11-17,215.2,216.0,211.4,214.0,2143369.0
2015-11-18,214.5,221.38,212.52,221.07,2805212.0
2015-11-19,220.54,226.19,220.3,221.8,2499363.0
2015-11-20,223.49,225.0,213.58,220.01,4389269.0
2015-11-23,216.73,219.18,214.68,217.75,2524994.0
2015-11-24,215.37,221.0,215.0,218.25,2452463.0
2015-11-25,221.34,230.82,220.37,229.64,3985700.0
2015-11-27,231.06,232.25,227.01,231.61,1949127.0
2015-11-30,231.79,234.28,229.08,230.26,2588103.0
2015-12-01,231.06,238.0,231.05,237.19,3728287.0
2015-12-02,237.0,238.6,231.23,231.99,2975821.0
2015-12-03,235.48,237.45,230.0,232.71,2936784.0
2015-12-04,232.46,233.27,227.66,230.38,2555913.0
2015-12-07,227.7,235.63,226.15,231.03,3140190.0
2015-12-08,227.52,228.8,224.2,226.72,2682153.0
2015-12-09,226.7,227.5,220.72,224.52,3051238.0
2015-12-10,224.71,228.49,223.64,227.07,2067933.0
2015-12-11,225.24,225.75,216.64,217.02,3250667.0
2015-12-14,217.51,220.92,214.87,218.61,2827068.0
2015-12-15,221.82,222.22,218.0,221.09,2240340.0
2015-12-16,222.1,234.88,220.73,234.51,5086411.0
2015-12-17,233.94,237.76,229.81,233.39,3292767.0
2015-12-18,232.89,235.9,229.29,230.3,3004611.0
2015-12-21,231.69,235.83,231.08,232.4,1942577.0
2015-12-22,234.99,236.55,229.63,229.95,1958721.0
2015-12-23,232.18,233.45,228.13,229.7,1550887.0
2015-12-24,230.56,231.88,228.28,230.57,710277.0
2015-12-28,231.49,231.98,225.54,228.97,1900171.0
2015-12-29,230.06,237.72,229.54,237.19,2383701.0
2015-12-30,236.6,243.63,235.67,238.09,3694168.0
2015-12-31,238.51,243.45,238.37,240.01,2683280.0
2016-01-04,230.72,231.38,219.0,223.42,6821601.0
2016-01-05,226.36,226.89,220.0,223.42,3184967.0
2016-01-06,220.0,220.05,215.98,219.04,3748893.0
2016-01-07,214.19,218.44,213.67,215.64,3464437.0
2016-01-08,217.86,220.44,210.77,211.0,3570547.0
2016-01-11,214.01,214.45,203.0,207.91,4089819.0
2016-01-12,211.6,213.74,205.31,209.97,3076474.0
2016-01-13,212.01,212.65,200.0,200.31,4101501.0
2016-01-14,202.21,210.0,193.38,206.18,6452624.0
2016-01-15,198.97,205.07,197.25,205.0,5322262.0
2016-01-19,208.71,210.47,200.78,204.71,3997509.0
2016-01-20,199.4,201.28,191.25,198.7,5825546.0
2016-01-21,201.55,203.23,195.02,199.97,3164084.0
2016-01-22,204.8,205.5,199.03,202.55,3120306.0
2016-01-25,200.06,203.57,195.88,196.23,2694744.0
2016-01-26,196.7,197.82,188.88,193.56,4946861.0
2016-01-27,192.38,193.26,185.77,188.07,3578473.0
2016-01-28,190.79,191.28,182.41,189.7,4588526.0
2016-01-29,189.95,193.74,188.08,191.2,2848929.0
2016-02-01,188.76,199.52,182.75,196.94,5295685.0
2016-02-02,192.42,193.12,180.23,182.78,5765187.0
2016-02-03,183.59,183.94,170.18,173.48,7927694.0
2016-02-04,170.7,175.98,166.99,175.33,4380008.0
2016-02-05,171.3,173.0,157.74,162.6,9434677.0
2016-02-08,157.1,157.15,146.0,147.99,9307034.0
2016-02-09,142.32,159.79,141.05,148.25,8644780.0
2016-02-10,150.5,154.97,141.74,143.67,10237305.0
2016-02-11,152.0,163.26,147.0,150.47,14243923.0
2016-02-12,155.0,157.01,143.7,151.04,7233264.0
2016-02-16,158.7,162.95,154.11,155.17,5583570.0
2016-02-17,159.0,169.34,156.68,168.68,5820754.0
2016-02-18,172.42,172.95,164.77,166.77,3883289.0
2016-02-19,163.66,167.49,162.5,166.58,2955832.0
2016-02-22,170.12,178.91,169.85,177.74,5055500.0
2016-02-23,176.16,181.73,173.68,177.21,5983648.0
2016-02-24,172.75,179.5,167.84,179.0,5387248.0
2016-02-25,178.65,188.52,175.2,187.43,5727008.0
2016-02-26,188.7,192.0,185.0,190.34,6054136.0
2016-02-29,192.4,196.35,189.22,191.93,4495402.0
2016-03-01,194.25,195.94,182.7,186.35,6700307.0
2016-03-02,183.73,188.52,181.5,188.34,4858597.0
2016-03-03,188.28,197.42,184.22,195.74,4823798.0
2016-03-04,198.0,204.03,197.5,201.04,6480005.0
2016-03-07,197.68,209.7,197.4,205.29,5331117.0
2016-03-08,203.5,207.5,202.2,202.6,4175654.0
2016-03-09,204.52,209.37,202.79,208.72,3207743.0
2016-03-10,210.0,213.29,200.67,205.18,5191680.0
2016-03-11,207.93,209.42,205.33,207.5,3339291.0
2016-03-14,212.65,216.72,210.64,215.15,4062519.0
2016-03-15,214.27,218.97,211.5,218.34,3133401.0
2016-03-16,218.0,222.58,217.02,221.93,3512123.0
2016-03-17,221.47,228.5,220.0,226.38,3773385.0
2016-03-18,229.1,234.48,228.06,232.74,4704778.0
2016-03-21,235.34,239.88,235.0,238.32,5289115.0
2016-03-22,237.21,238.99,232.55,234.24,4303600.0
2016-03-23,232.37,234.73,222.03,222.58,4936792.0
2016-03-24,215.78,228.88,215.0,227.75,4956609.0
2016-03-28,231.61,234.81,225.0,230.26,3921306.0
2016-03-29,229.89,232.38,225.33,230.13,4006337.0
2016-03-30,235.09,235.5,226.5,226.89,4026998.0
2016-03-31,229.34,237.42,225.01,229.77,7983773.0
2016-04-01,244.82,247.9,233.25,237.59,15981031.0
2016-04-04,249.12,252.12,243.64,246.99,13396561.0
2016-04-05,240.5,256.56,240.0,255.47,9931890.0
2016-04-06,253.97,267.74,253.45,265.42,11697118.0
2016-04-07,266.45,269.34,254.51,257.2,8847971.0
2016-04-08,260.5,260.82,248.02,250.07,7353242.0
2016-04-11,251.0,258.99,245.3,249.92,9157006.0
2016-04-12,249.5,251.8,243.63,247.82,5755491.0
2016-04-13,248.51,255.5,247.33,254.53,4921860.0
2016-04-14,253.0,256.84,251.05,251.86,4129338.0
2016-04-15,251.31,254.6,249.12,254.51,3748643.0
2016-04-18,252.23,258.31,251.66,253.88,4265536.0
2016-04-19,253.12,254.37,241.25,247.37,6351460.0
2016-04-20,246.26,253.66,241.5,249.97,5192410.0
2016-04-21,248.99,250.9,246.91,248.29,2777463.0
2016-04-22,248.89,254.0,245.71,253.75,3783337.0
2016-04-25,253.01,257.38,250.76,251.82,3665088.0
2016-04-26,252.05,255.73,249.39,253.74,3218117.0
2016-04-27,252.75,255.0,249.4,251.47,3199592.0
2016-04-28,249.85,253.43,247.44,247.71,2516231.0
2016-04-29,248.14,248.43,237.81,240.76,5408683.0
2016-05-02,241.5,243.19,234.82,241.8,3839038.0
2016-05-03,237.36,238.91,231.62,232.32,4297959.0
2016-05-04,230.29,234.46,220.4,222.56,8574810.0
2016-05-05,228.46,228.64,209.79,211.53,11249460.0
2016-05-06,210.87,216.37,208.11,214.93,5684097.0
2016-05-09,215.72,216.15,206.8,208.92,4773047.0
2016-05-10,207.55,209.47,205.0,208.69,4069718.0
2016-05-11,207.59,215.48,206.05,208.96,5159979.0
2016-05-12,211.44,211.67,203.65,207.28,3650184.0
2016-05-13,207.78,211.2,206.7,207.61,2821569.0
2016-05-16,208.15,213.15,207.92,208.29,2946404.0
2016-05-17,209.05,209.82,204.02,204.66,2842028.0
2016-05-18,209.15,215.31,207.75,211.17,5588233.0
2016-05-19,213.62,216.79,207.3,215.21,6820662.0
2016-05-20,216.99,220.55,216.35,220.28,8996774.0
2016-05-23,219.87,222.6,215.86,216.22,5096826.0
2016-05-24,216.6,218.74,215.18,217.91,3009638.0
2016-05-25,217.91,221.36,216.51,219.58,3131279.0
2016-05-26,220.5,225.26,219.05,225.12,4067112.0
2016-05-27,224.99,225.93,220.75,223.04,3645992.0
2016-05-31,223.04,224.75,221.5,223.23,2786822.0
2016-06-01,221.48,222.4,216.89,219.56,2982370.0
2016-06-02,219.59,219.91,217.11,218.96,2018037.0
2016-06-03,220.0,221.94,218.01,218.99,2226112.0
2016-06-06,218.0,220.9,215.45,220.68,2243751.0
2016-06-07,222.24,234.44,221.52,232.34,6197792.0
2016-06-08,233.8,240.84,232.6,235.52,5965784.0
2016-06-09,234.98,235.33,227.06,229.36,4465217.0
2016-06-10,227.39,227.97,218.42,218.79,6011165.0
2016-06-13,219.5,225.77,217.66,217.87,4187953.0
2016-06-14,218.88,222.2,212.53,214.96,3576222.0
2016-06-15,216.95,221.9,215.13,217.7,2906450.0
2016-06-16,217.42,218.04,213.5,217.93,2439227.0
2016-06-17,217.81,219.99,214.5,215.47,3108208.0
2016-06-20,219.5,223.75,218.23,219.7,3551370.0
2016-06-21,220.68,222.57,218.81,219.61,3391122.0
2016-06-22,199.47,205.95,195.75,196.66,23716534.0
2016-06-23,195.69,197.55,192.13,196.4,10102673.0
2016-06-24,190.05,195.12,189.73,193.15,6991229.0
2016-06-27,190.86,191.8,189.03,189.49,664207.0
2016-06-28,201.89,204.05,199.41,201.79,6159645.0
2016-06-29,205.13,211.78,203.0,210.19,5987865.0
2016-06-30,212.97,213.5,209.02,212.28,4811424.0
2016-07-01,206.14,218.24,206.0,216.5,5397730.0
2016-07-05,209.73,214.54,208.0,213.98,5170322.0
2016-07-06,210.0,215.23,209.0,214.44,4910425.0
2016-07-07,213.1,218.12,213.01,215.94,3603475.0
2016-07-08,217.8,219.81,214.5,216.78,4068350.0
2016-07-11,219.96,226.78,219.51,224.78,5378658.0
2016-07-12,224.1,227.5,223.22,224.65,4574215.0
2016-07-13,225.5,225.59,220.29,222.53,3542814.0
2016-07-14,223.12,224.94,221.05,221.53,2660295.0
2016-07-15,222.52,222.75,219.64,220.4,2231101.0
2016-07-18,219.64,227.09,218.3,226.25,3394638.0
2016-07-19,225.0,229.1,224.75,225.26,3047824.0
2016-07-20,226.47,229.8,225.0,228.36,2556389.0
2016-07-21,226.0,227.84,219.1,220.5,4426066.0
2016-07-22,221.99,224.5,218.88,222.27,2570812.0
2016-07-25,222.27,231.39,221.37,230.01,4479586.0
2016-07-26,227.69,230.0,225.3,229.51,3427536.0
2016-07-27,229.34,233.36,226.92,228.49,2887228.0
2016-07-28,227.95,230.76,226.6,230.61,2415562.0
2016-07-29,230.7,235.28,230.24,234.79,3062650.0
2016-08-01,235.5,236.63,229.38,230.01,4014298.0
2016-08-02,229.37,229.87,221.4,227.2,3929237.0
2016-08-03,227.37,229.7,224.21,225.79,3827510.0
2016-08-04,225.69,230.86,222.05,230.61,4144041.0
2016-08-05,230.0,232.0,227.4,230.03,3191450.0
2016-08-08,228.0,229.6,226.09,226.16,2260109.0
2016-08-09,226.82,231.53,226.65,229.08,2203101.0
2016-08-10,228.24,229.87,224.62,225.65,2336896.0
2016-08-11,226.17,227.57,223.41,224.91,1876984.0
2016-08-12,225.41,226.65,224.04,225.61,1812000.0
2016-08-15,226.02,229.5,224.93,225.59,2018509.0
2016-08-16,225.49,227.19,223.41,223.61,2252223.0
2016-08-17,224.33,224.83,222.8,223.24,1786408.0
2016-08-18,223.82,225.66,222.29,223.51,1699400.0
2016-08-19,223.54,225.17,222.53,225.0,1658616.0
2016-08-22,224.17,225.11,222.68,222.93,2061692.0
2016-08-23,224.32,228.49,222.8,224.84,4748027.0
2016-08-24,227.05,227.15,222.22,222.62,2567487.0
2016-08-25,223.11,223.8,220.77,220.96,1760741.0
2016-08-26,222.14,222.85,218.82,219.99,2238147.0
2016-08-29,220.15,220.4,215.0,215.2,3262817.0
2016-08-30,216.11,216.11,210.52,211.34,3164505.0
2016-08-31,210.43,212.6,208.65,212.01,3275497.0
2016-09-01,209.01,211.1,200.5,200.77,7938050.0
2016-09-02,202.33,203.2,196.2,197.78,5970321.0
2016-09-06,199.02,203.25,199.0,202.83,4388444.0
2016-09-07,205.5,206.49,200.71,201.71,3639218.0
2016-09-08,199.55,199.89,196.36,197.36,3372913.0
2016-09-09,199.09,199.92,193.7,194.47,3754288.0
2016-09-12,195.0,201.37,194.1,198.3,3714264.0
2016-09-13,197.06,198.49,193.45,196.05,3583141.0
2016-09-14,195.75,197.92,194.85,196.41,2257203.0
2016-09-15,196.49,202.52,196.4,200.42,3082952.0
2016-09-16,200.42,205.7,199.0,205.4,3104266.0
2016-09-19,207.0,209.43,205.0,206.34,2298423.0
2016-09-20,206.85,207.75,203.91,204.64,2409181.0
2016-09-21,206.37,207.0,201.56,205.22,2631359.0
2016-09-22,206.4,207.28,203.0,206.43,2382000.0
2016-09-23,205.99,210.18,205.67,207.45,2904133.0
2016-09-26,206.5,211.0,206.5,208.99,2393553.0
2016-09-27,209.65,209.98,204.61,205.81,3369273.0
2016-09-28,207.51,208.25,205.26,206.27,2079431.0
2016-09-29,205.6,207.33,200.58,200.7,2714177.0
2016-09-30,202.21,204.98,199.55,204.03,2582730.0
2016-10-03,212.3,215.67,208.25,213.7,5989347.0
2016-10-04,213.1,213.32,208.82,211.41,3537953.0
2016-10-05,212.24,213.15,208.12,208.46,1872830.0
2016-10-06,202.46,204.21,200.21,201.0,4698288.0
2016-10-07,201.0,201.32,195.8,196.61,3490531.0
2016-10-10,201.35,204.14,199.66,200.95,3311443.0
2016-10-11,201.85,202.2,198.31,200.1,2327354.0
2016-10-12,200.95,203.88,200.42,201.51,1969202.0
2016-10-13,200.5,200.89,197.05,200.24,2495140.0
2016-10-14,200.66,201.43,196.3,196.51,4265738.0
2016-10-17,197.05,198.39,192.0,193.96,4518688.0
2016-10-18,195.99,199.47,193.26,199.1,5676136.0
2016-10-19,199.74,206.66,198.06,203.56,6970155.0
2016-10-20,202.12,203.0,197.05,199.1,5070006.0
2016-10-21,198.6,201.57,197.41,200.09,2939773.0
2016-10-24,201.0,203.94,200.25,202.76,2747344.0
2016-10-25,202.9,204.69,201.2,202.34,2442539.0
2016-10-26,201.0,203.19,200.1,202.24,5419240.0
2016-10-27,211.34,213.7,201.65,204.01,13077912.0
2016-10-28,204.0,205.32,199.83,199.97,4273923.0
2016-10-31,202.49,202.49,195.81,197.73,4691576.0
2016-11-01,198.04,198.5,188.1,190.79,7036538.0
2016-11-02,190.05,192.69,187.5,188.02,4245872.0
2016-11-03,189.0,191.47,187.04,187.42,2647358.0
2016-11-04,189.0,193.46,185.96,190.56,5143952.0
2016-11-07,193.59,194.29,190.05,193.21,3857734.0
2016-11-08,193.79,197.49,191.26,194.94,3253048.0
2016-11-09,186.87,192.0,183.95,190.06,8166554.0
2016-11-10,191.05,191.61,180.42,185.35,6746610.0
2016-11-11,184.24,188.88,183.0,188.56,3987666.0
2016-11-14,188.0,188.25,178.19,181.45,6548220.0
2016-11-15,182.78,186.43,182.05,183.77,3899846.0
2016-11-16,182.65,184.73,181.21,183.93,3432705.0
2016-11-17,183.49,189.49,182.11,188.66,4882298.0
2016-11-18,190.65,193.0,185.0,185.02,5207427.0
2016-11-21,185.04,188.89,184.41,184.52,4356181.0
2016-11-22,185.84,191.47,183.71,191.17,5601548.0
2016-11-23,190.61,195.64,189.0,193.14,4891114.0
2016-11-25,193.64,197.23,193.64,196.65,2366098.0
2016-11-28,195.48,199.35,194.55,196.12,4521168.0
2016-11-29,195.56,196.73,189.5,189.57,4435899.0
2016-11-30,191.0,191.89,187.5,189.4,3545296.0
2016-12-01,188.25,188.53,181.0,181.88,5120132.0
2016-12-02,182.88,184.88,180.0,181.47,4040241.0
2016-12-05,182.51,188.89,182.51,186.8,4069902.0
2016-12-06,185.52,186.58,182.68,185.85,3389790.0
2016-12-07,186.15,193.4,185.0,193.15,5460419.0
2016-12-08,192.05,192.5,189.54,192.29,3193702.0
2016-12-09,190.87,193.83,190.81,192.18,2721100.0
2016-12-12,192.8,194.42,191.04,192.43,2436810.0
